Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
demo,,,,22-10-2024 15:57:45,22-10-2024 15:57:47,1.229s,PASSED
,,,,,,,
Test Cases/MOZ-99999/dataformat,,,,22-10-2024 15:57:46,22-10-2024 15:57:46,0.309s,PASSED
username = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,22-10-2024 15:57:46,22-10-2024 15:57:46,0.006s,PASSED
password = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,22-10-2024 15:57:46,22-10-2024 15:57:46,0.004s,PASSED
println(username),,,,22-10-2024 15:57:46,22-10-2024 15:57:46,0.010s,PASSED
println(password),,,,22-10-2024 15:57:46,22-10-2024 15:57:46,0.002s,PASSED
,,,,,,,
Test Cases/MOZ-99999/dataformat,,,,22-10-2024 15:57:47,22-10-2024 15:57:47,0.063s,PASSED
username = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,22-10-2024 15:57:47,22-10-2024 15:57:47,0.002s,PASSED
password = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,,,,22-10-2024 15:57:47,22-10-2024 15:57:47,0.001s,PASSED
println(username),,,,22-10-2024 15:57:47,22-10-2024 15:57:47,0.002s,PASSED
println(password),,,,22-10-2024 15:57:47,22-10-2024 15:57:47,0.001s,PASSED
